ranker,k,NDCG,MAP,Recall,Precision,Comparisons,NDCG_per_comp
mohajer,1,0.54595,0.13523,0.13523,0.62973,141420,3.860486494130958e-06
mohajer,3,0.53514,0.25032,0.28952,0.52883,141420,3.7840475180313956e-06
mohajer,5,0.54252,0.3011,0.3745,0.45946,141420,3.83623249893933e-06
mohajer,10,0.55732,0.36559,0.5076,0.35892,141420,3.940885306180173e-06
mohajer,100,0.68297,0.46078,1.0,0.10159,141420,4.8293734973836794e-06
random,1,0.07432,0.01134,0.01134,0.1,0,0.0
random,3,0.07753,0.0195,0.02893,0.1,0,0.0
random,5,0.08313,0.02474,0.04602,0.1,0,0.0
random,10,0.09769,0.03393,0.08817,0.09865,0,0.0
random,100,0.38294,0.13836,1.0,0.10159,0,0.0
sliding,1,0.50405,0.1304,0.1304,0.57838,172632,2.9197947078177857e-06
sliding,3,0.44333,0.20844,0.23479,0.41441,172632,2.5680638583808332e-06
sliding,5,0.43039,0.23787,0.28388,0.33946,172632,2.493106724129941e-06
sliding,10,0.42279,0.26871,0.35025,0.24973,172632,2.4490824412623385e-06
sliding,100,0.61285,0.37298,1.0,0.10159,172632,3.5500370730803097e-06
