ranker,k,NDCG,MAP,Recall,Precision,Comparisons,NDCG_per_comp
mohajer,1,0.31352,0.20965,0.20965,0.31352,230049,1.3628400905893963e-06
mohajer,3,0.35192,0.29876,0.38455,0.20014,230049,1.529761050906546e-06
mohajer,5,0.39177,0.32925,0.48331,0.1541,230049,1.7029850162356716e-06
mohajer,10,0.44134,0.35424,0.62089,0.1,230049,1.918460849645076e-06
mohajer,100,0.52132,0.36883,1.0,0.01676,230049,2.2661259123056393e-06
random,1,0.02049,0.01588,0.01588,0.02049,0,0.0
random,3,0.03188,0.02516,0.0381,0.01913,0,0.0
random,5,0.03892,0.02869,0.05195,0.01844,0,0.0
random,10,0.05823,0.03598,0.10561,0.01844,0,0.0
random,100,0.24398,0.06514,1.0,0.01676,0,0.0
sliding,1,0.2377,0.15965,0.15965,0.2377,168405,1.4114782815237076e-06
sliding,3,0.22006,0.1928,0.21309,0.11544,168405,1.3067307977791633e-06
sliding,5,0.22703,0.19969,0.23817,0.07787,168405,1.3481191176033967e-06
sliding,10,0.24878,0.20866,0.30202,0.04939,168405,1.4772720524925031e-06
sliding,100,0.39656,0.23409,1.0,0.01676,168405,2.354799441821799e-06
