ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.10372,0.02387,0.0612,0.1345,0,0,0.0
bubble sort (classic),bidirectional,10,0.11847,0.02925,0.06775,0.1455,119674,119352,9.899393351939436e-07
bubble sort (classic),cached-sampling,10,0.11902,0.02955,0.06716,0.145,155754,1216007,7.641537295992398e-07
bubble sort (classic),sampling,10,0.12105,0.03022,0.06817,0.14775,681586,0,1.7760047888307564e-07
bubble sort (classic),weird $(1.5)$,10,0.12166,0.03011,0.06917,0.14875,337893,0,3.600548102505823e-07
mohajer (ir),sampling,10,0.24124,0.0751,0.14303,0.259,94786,0,2.5451015972822993e-06
mohajer (ir),cached-sampling,10,0.23962,0.07386,0.13946,0.25675,147854,20695,1.6206528061466042e-06
mohajer (ir),bidirectional,10,0.2391,0.07347,0.13719,0.25575,149676,22372,1.5974504930650204e-06
mohajer (ir),weird $(1.5)$,10,0.24191,0.07465,0.1389,0.25975,96030,0,2.519108611892117e-06
mohajer + bubble,sampling,10,0.24573,0.07781,0.14175,0.26175,125553,0,1.9571814293565267e-06
mohajer + bubble,cached-sampling,10,0.24417,0.07826,0.14238,0.257,160678,46361,1.5196230971259289e-06
mohajer + bubble,bidirectional,10,0.24112,0.07513,0.13746,0.2565,157510,32711,1.5308234397816012e-06
mohajer + bubble,weird $(1.5)$,10,0.24533,0.07696,0.14115,0.26175,117652,0,2.0852174208683236e-06
pac + bubble,sampling,10,0.15304,0.04825,0.07716,0.1425,71742,0,2.1331995205040284e-06
pac + bubble,cached-sampling,10,0.14722,0.04482,0.06882,0.142,134414,4472,1.0952728138437959e-06
pac + bubble,bidirectional,10,0.14947,0.04418,0.07684,0.15475,128898,2492,1.1595990628248691e-06
pac + bubble,weird $(1.5)$,10,0.15149,0.04714,0.07702,0.14825,69231,0,2.1881815949502393e-06
pac top-k (2-round),sampling,10,0.25542,0.09053,0.17872,0.273,455897,0,5.602581284807753e-07
pac top-k (2-round),cached-sampling,10,0.25381,0.08974,0.1822,0.272,909196,1788,2.791587292508986e-07
pac top-k (2-round),bidirectional,10,0.27594,0.10135,0.19243,0.28825,838636,883,3.2903428901215786e-07
pac top-k (2-round),weird $(1.5)$,10,0.25264,0.08998,0.17691,0.26875,430191,0,5.872740247936381e-07
pac top-k (3-round),sampling,10,0.19529,0.06087,0.13143,0.216,502750,0,3.884435604177026e-07
pac top-k (3-round),cached-sampling,10,0.20167,0.06268,0.13958,0.2215,887216,53682,2.273065409099926e-07
pac top-k (3-round),bidirectional,10,0.23366,0.07716,0.1661,0.25825,989654,62693,2.3610271872795948e-07
pac top-k (3-round),weird $(1.5)$,10,0.20254,0.06382,0.14224,0.221,502410,0,4.031368802372564e-07
pac top-k (optimized),sampling,10,0.11994,0.02962,0.0736,0.14425,59152,0,2.027657560183933e-06
pac top-k (optimized),cached-sampling,10,0.11994,0.02962,0.0736,0.14425,118304,0,1.0138287800919665e-06
pac top-k (optimized),bidirectional,10,0.12402,0.03059,0.07684,0.15475,118304,0,1.0483162023262105e-06
pac top-k (optimized),weird $(1.5)$,10,0.12368,0.03068,0.07242,0.15,59152,0,2.0908845009467133e-06
prp sort (classic),cached-sampling,10,0.18792,0.05844,0.09981,0.20075,345150,6066,5.444589308996088e-07
prp sort (classic),bidirectional,10,0.18299,0.05617,0.09644,0.19625,296216,3737,6.17758662597564e-07
prp sort (classic),sampling,10,0.18836,0.05759,0.09951,0.20175,178022,0,1.0580714743121636e-06
prp sort (classic),weird $(1.5)$,10,0.18483,0.05653,0.09864,0.2005,165034,0,1.1199510403916769e-06
quick sort (classic),bidirectional,10,0.31804,0.12875,0.18991,0.28725,1621662,0,1.961197832840629e-07
quick sort (classic),cached-sampling,10,0.30425,0.12377,0.17675,0.274,1176380,0,2.586324146959316e-07
quick sort (classic),sampling,10,0.30425,0.12377,0.17675,0.274,588190,0,5.172648293918632e-07
quick sort (classic),weird $(1.5)$,10,0.3101,0.12436,0.18276,0.27725,632526,0,4.902565270044235e-07
sliding window prp (classic),bidirectional,10,0.11847,0.02925,0.06775,0.1455,117738,157090,1.0062171941089537e-06
sliding window prp (classic),cached-sampling,10,0.12078,0.03006,0.06885,0.14775,151638,307549,7.965021960194674e-07
sliding window prp (classic),sampling,10,0.12227,0.03066,0.06947,0.14925,385744,0,3.169718777220125e-07
sliding window prp (classic),weird $(1.5)$,10,0.12144,0.03039,0.06975,0.1485,370003,0,3.2821355502522954e-07
spectral mle (refinement),bidirectional,10,0.20503,0.0533,0.1218,0.2415,2004794,0,1.0226985914762315e-07
spectral mle (refinement),cached-sampling,10,0.22717,0.06426,0.13705,0.26,2004794,0,1.1331338780942082e-07
spectral mle (refinement),sampling,10,0.22717,0.06426,0.13705,0.26,1002397,0,2.2662677561884165e-07
spectral mle (refinement),weird $(1.5)$,10,0.21966,0.06089,0.13249,0.256,1002397,0,2.1913473404250011e-07
