ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.50583,0.11256,0.12848,0.6186,0,0,0.0
bubble sort (classic),bidirectional,10,0.63417,0.14868,0.15928,0.73023,39624,44416,1.6004694124772866e-05
bubble sort (classic),cached-sampling,10,0.64344,0.15038,0.16107,0.73953,62098,152478,1.0361686366710683e-05
bubble sort (classic),sampling,10,0.67605,0.15646,0.16872,0.77674,174293,0,3.878813262724263e-06
bubble sort (classic),weird $(1.5)$,10,0.66202,0.15115,0.16293,0.76047,114339,0,5.7899754239585795e-06
christmas tree,sampling,10,0.54106,0.11847,0.12951,0.62326,8870,0,6.09988726042841e-05
jingle bells,sampling,10,0.58917,0.13134,0.14102,0.67907,2927,0,0.0002012880081995217
mohajer (ir),sampling,10,0.60643,0.13417,0.14892,0.68837,9980,0,6.0764529058116235e-05
mohajer + bubble,sampling,10,0.61751,0.14259,0.15975,0.7186,15248,0,4.049777019937041e-05
mohajer + bubble,cached-sampling,10,0.62151,0.13984,0.15555,0.70698,18724,5295,3.319322794274728e-05
mohajer + bubble,bidirectional,10,0.62964,0.1438,0.15879,0.73023,18134,3423,3.472151759126502e-05
mohajer + bubble,weird $(1.5)$,10,0.62182,0.14357,0.15786,0.72093,14030,0,4.432074126870991e-05
pac + bubble,sampling,10,0.59983,0.13071,0.14306,0.6814,7884,0,7.608193810248604e-05
pac + bubble,cached-sampling,10,0.60651,0.14139,0.15327,0.70465,14708,560,4.123674190916508e-05
pac + bubble,bidirectional,10,0.61739,0.14003,0.14626,0.7,13930,267,4.432089016511127e-05
pac + bubble,weird $(1.5)$,10,0.60816,0.13462,0.14336,0.6907,7618,0,7.983197689682332e-05
pac top-k (2-round),sampling,10,0.61318,0.13487,0.14981,0.68605,48176,0,1.2727914314181334e-05
pac top-k (2-round),cached-sampling,10,0.63905,0.14164,0.159,0.73256,94832,264,6.738759068668804e-06
pac top-k (2-round),bidirectional,10,0.63288,0.13965,0.1551,0.72093,88974,172,7.113089217074651e-06
pac top-k (2-round),weird $(1.5)$,10,0.60779,0.13236,0.1488,0.68837,44606,0,1.3625745415414968e-05
pac top-k (3-round),sampling,10,0.60501,0.1337,0.14812,0.68837,50740,0,1.1923728813559322e-05
pac top-k (3-round),cached-sampling,10,0.61683,0.13649,0.15266,0.70233,93578,3951,6.591613413409135e-06
pac top-k (3-round),bidirectional,10,0.64466,0.14506,0.16073,0.73721,91856,4812,7.018158857341927e-06
pac top-k (3-round),weird $(1.5)$,10,0.60766,0.12997,0.14726,0.68372,50740,0,1.1975955853370121e-05
pac top-k (optimized),sampling,10,0.58496,0.13501,0.15256,0.70233,6364,0,9.191703331238216e-05
pac top-k (optimized),cached-sampling,10,0.58496,0.13501,0.15256,0.70233,12728,0,4.595851665619108e-05
pac top-k (optimized),bidirectional,10,0.59392,0.13366,0.14626,0.7,12728,0,4.666247642991829e-05
pac top-k (optimized),weird $(1.5)$,10,0.56911,0.1268,0.14028,0.67442,6364,0,8.9426461345066e-05
prp sort (classic),cached-sampling,10,0.62649,0.14259,0.16091,0.72326,72054,2234,8.694728953285036e-06
prp sort (classic),bidirectional,10,0.65007,0.14593,0.15731,0.73721,58396,1511,1.11320980889102e-05
prp sort (classic),sampling,10,0.62398,0.13835,0.15522,0.71628,38288,0,1.629701211867948e-05
prp sort (classic),weird $(1.5)$,10,0.64691,0.14329,0.15591,0.73256,34975,0,1.8496354538956397e-05
quick sort (classic),bidirectional,10,0.64545,0.14941,0.16587,0.74186,74316,0,8.685209107056354e-06
quick sort (classic),cached-sampling,10,0.61754,0.13301,0.14758,0.68837,48824,0,1.2648287727347205e-05
quick sort (classic),sampling,10,0.61754,0.13301,0.14758,0.68837,24412,0,2.529657545469441e-05
quick sort (classic),weird $(1.5)$,10,0.62903,0.13972,0.15496,0.69767,25080,0,2.5080940988835724e-05
sliding window prp (classic),bidirectional,10,0.63417,0.14868,0.15928,0.73023,33438,25059,1.8965548178718824e-05
sliding window prp (classic),cached-sampling,10,0.64286,0.15328,0.16413,0.75116,47828,18656,1.3441080538596638e-05
sliding window prp (classic),sampling,10,0.66121,0.15295,0.16609,0.76512,42570,0,1.5532299741602066e-05
sliding window prp (classic),weird $(1.5)$,10,0.66745,0.15528,0.16717,0.76977,42570,0,1.5678881841672538e-05
