ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.23607,0.17837,0.29507,0.06343,0,0,0.0
bubble sort (classic),bidirectional,10,0.29451,0.2333,0.34336,0.07469,318482,405625,9.247304400248679e-07
bubble sort (classic),cached-sampling,10,0.29703,0.22952,0.36265,0.07963,606994,2458868,4.893458584434113e-07
bubble sort (classic),sampling,10,0.32308,0.24881,0.40008,0.0892,2710157,0,1.192108058684423e-07
bubble sort (classic),weird $(1.5)$,10,0.31793,0.24796,0.38306,0.08519,1522554,0,2.088136118653263e-07
mohajer (ir),sampling,10,0.24845,0.17945,0.33025,0.07392,150955,0,1.645854724918022e-06
mohajer (ir),cached-sampling,10,0.24925,0.18338,0.31865,0.07207,241576,29555,1.0317664006358248e-06
mohajer (ir),bidirectional,10,0.25874,0.18706,0.35461,0.07747,259202,31967,9.9821760634563e-07
mohajer (ir),weird $(1.5)$,10,0.25203,0.18291,0.33943,0.07562,155923,0,1.6163747490748638e-06
mohajer + bubble,sampling,10,0.2619,0.19605,0.32389,0.07423,232424,0,1.1268199497470142e-06
mohajer + bubble,cached-sampling,10,0.26834,0.20187,0.33374,0.07438,279784,85573,9.590970176993681e-07
mohajer + bubble,bidirectional,10,0.26233,0.19112,0.35539,0.07762,272890,50964,9.61303089156803e-07
mohajer + bubble,weird $(1.5)$,10,0.27699,0.21036,0.34595,0.07747,208184,0,1.3305057064904123e-06
prp sort (classic),cached-sampling,10,0.28274,0.21493,0.3479,0.07793,998728,29403,2.831001033314376e-07
prp sort (classic),bidirectional,10,0.3127,0.24525,0.36688,0.08256,644742,13422,4.8500020163104e-07
prp sort (classic),sampling,10,0.27697,0.21105,0.34116,0.07639,523935,0,5.286342771527002e-07
prp sort (classic),weird $(1.5)$,10,0.29813,0.23156,0.35412,0.08009,437813,0,6.809528268918465e-07
quick sort (classic),bidirectional,10,0.26841,0.19508,0.35083,0.07963,1542130,0,1.740514742596279e-07
quick sort (classic),cached-sampling,10,0.24571,0.18368,0.30122,0.06867,702796,0,3.4961781228123096e-07
quick sort (classic),sampling,10,0.24571,0.18368,0.30122,0.06867,351398,0,6.992356245624619e-07
quick sort (classic),weird $(1.5)$,10,0.25776,0.19589,0.3152,0.07114,381009,0,6.765194522964024e-07
sliding window prp (classic),bidirectional,10,0.29451,0.2333,0.34336,0.07469,307414,393367,9.580240327376112e-07
sliding window prp (classic),cached-sampling,10,0.30206,0.23627,0.35865,0.07932,551204,365918,5.480003773557521e-07
sliding window prp (classic),sampling,10,0.31378,0.23679,0.4017,0.08951,641520,0,4.891195909714428e-07
sliding window prp (classic),weird $(1.5)$,10,0.31272,0.23936,0.3866,0.08519,641520,0,4.87467265245043e-07
