ranker,k,NDCG,MAP,Recall,Precision,Comparisons,NDCG_per_comp
nothing,1,0.4322,0.05286,0.05286,0.44746,0,0.0
nothing,3,0.4151,0.101,0.11788,0.4,0,0.0
nothing,5,0.41058,0.13124,0.17583,0.36271,0,0.0
nothing,10,0.39818,0.17097,0.24638,0.30237,0,0.0
nothing,100,0.42409,0.26231,0.48337,0.12586,0,0.0
random,1,0.31525,0.02498,0.02498,0.34915,0,0.0
random,3,0.32491,0.065,0.08501,0.35028,0,0.0
random,5,0.34944,0.0999,0.15136,0.36746,0,0.0
random,10,0.37018,0.14338,0.2324,0.35085,0,0.0
random,100,0.56419,0.32095,0.86744,0.23685,0,0.0
sliding window prp (classic),1,0.46441,0.0517,0.0517,0.48814,105810,4.389093658444381e-06
sliding window prp (classic),3,0.42891,0.10088,0.12126,0.41356,105810,4.0535866175219736e-06
sliding window prp (classic),5,0.42885,0.13568,0.18781,0.38237,105810,4.053019563368302e-06
sliding window prp (classic),10,0.41461,0.17701,0.25587,0.31627,105810,3.918438710896891e-06
sliding window prp (classic),100,0.43155,0.26795,0.48337,0.12586,105810,4.078537000283527e-06
