ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.40698,0.10297,0.1357,0.39197,0,0,0.0
bubble sort (classic),bidirectional,10,0.44162,0.11414,0.14476,0.41566,100918,101161,4.376028062387285e-06
bubble sort (classic),cached-sampling,10,0.45286,0.11728,0.14828,0.42892,203260,986761,2.227983863032569e-06
bubble sort (classic),sampling,10,0.45752,0.11384,0.14813,0.44257,1022547,0,4.474317561931138e-07
bubble sort (classic),weird $(1.5)$,10,0.46214,0.11952,0.15275,0.44177,519794,0,8.890829828739847e-07
christmas tree,sampling,10,0.40517,0.09808,0.12776,0.37229,51638,0,7.846353460629769e-06
jingle bells,sampling,10,0.40501,0.0948,0.13164,0.39357,17048,0,2.3757038948850302e-05
mohajer (ir),sampling,10,0.36245,0.07245,0.10598,0.33855,58148,0,6.233232441356538e-06
mohajer + bubble,sampling,10,0.37785,0.08059,0.112,0.35502,89728,0,4.211060092724679e-06
mohajer + bubble,cached-sampling,10,0.34658,0.07068,0.10289,0.32851,106714,33697,3.2477463125737955e-06
mohajer + bubble,bidirectional,10,0.3775,0.07863,0.12158,0.36988,104608,19470,3.608710614866932e-06
mohajer + bubble,weird $(1.5)$,10,0.393,0.08683,0.1221,0.37831,79953,0,4.915387790326817e-06
pac + bubble,sampling,10,0.41042,0.10177,0.13157,0.38514,45854,0,8.950582282897894e-06
pac + bubble,cached-sampling,10,0.40008,0.0974,0.12817,0.37631,84454,3356,4.737253416060814e-06
pac + bubble,bidirectional,10,0.44053,0.11126,0.13971,0.41205,79134,1418,5.566886546869866e-06
pac + bubble,weird $(1.5)$,10,0.41418,0.10317,0.13033,0.38153,43680,0,9.482142857142857e-06
pac top-k (2-round),sampling,10,0.3712,0.08094,0.10651,0.34217,303700,0,1.2222588080342443e-06
pac top-k (2-round),cached-sampling,10,0.37516,0.07987,0.1048,0.34016,607258,2340,6.177934255291819e-07
pac top-k (2-round),bidirectional,10,0.43633,0.10282,0.13028,0.40281,502504,472,8.683114960278923e-07
pac top-k (2-round),weird $(1.5)$,10,0.34091,0.07312,0.09453,0.31004,265518,0,1.2839430848379393e-06
pac top-k (3-round),sampling,10,0.38226,0.08357,0.11047,0.35823,293820,0,1.3010006126199714e-06
pac top-k (3-round),cached-sampling,10,0.39011,0.08669,0.11337,0.35823,540246,23697,7.220969706393014e-07
pac top-k (3-round),bidirectional,10,0.44154,0.10468,0.13239,0.40723,550516,33632,8.020475335866714e-07
pac top-k (3-round),weird $(1.5)$,10,0.36924,0.08524,0.10815,0.33534,293820,0,1.2566877680212375e-06
pac top-k (optimized),sampling,10,0.4151,0.10246,0.13307,0.38554,36852,0,1.1263974818191687e-05
pac top-k (optimized),cached-sampling,10,0.4151,0.10246,0.13307,0.38554,73704,0,5.6319874090958435e-06
pac top-k (optimized),bidirectional,10,0.43054,0.10838,0.13971,0.41205,73704,0,5.841474004124606e-06
pac top-k (optimized),weird $(1.5)$,10,0.40543,0.09785,0.12903,0.37871,36852,0,1.1001573863019647e-05
prp sort (classic),cached-sampling,10,0.38671,0.0819,0.11672,0.35622,367638,10567,1.0518771182521937e-06
prp sort (classic),bidirectional,10,0.40431,0.09301,0.12018,0.36185,217938,3655,1.8551606420174546e-06
prp sort (classic),sampling,10,0.3836,0.08443,0.1161,0.35622,192893,0,1.9886672922293706e-06
prp sort (classic),weird $(1.5)$,10,0.40503,0.09414,0.12375,0.37309,152866,0,2.6495754451611215e-06
quick sort (classic),bidirectional,10,0.41002,0.08969,0.12778,0.39839,690690,0,5.936382458121589e-07
quick sort (classic),cached-sampling,10,0.35434,0.07651,0.10766,0.33333,264076,0,1.3418106908617216e-06
quick sort (classic),sampling,10,0.35434,0.07651,0.10766,0.33333,132038,0,2.683621381723443e-06
quick sort (classic),weird $(1.5)$,10,0.3687,0.07986,0.11568,0.34458,144432,0,2.5527583914921904e-06
sliding window prp (classic),bidirectional,10,0.44162,0.11414,0.14476,0.41566,98230,120472,4.495775221419119e-06
sliding window prp (classic),cached-sampling,10,0.44749,0.11358,0.14903,0.42892,190244,151388,2.352189819389836e-06
sliding window prp (classic),sampling,10,0.46049,0.11624,0.15124,0.44297,246510,0,1.8680378077968439e-06
sliding window prp (classic),weird $(1.5)$,10,0.46543,0.11812,0.14814,0.43855,246510,0,1.888077562776358e-06
