ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.67891,0.63333,0.80383,0.08833,0,0,0.0
bubble sort (classic),bidirectional,10,0.69246,0.6427,0.83494,0.09267,190640,292536,3.632291229542593e-06
bubble sort (classic),cached-sampling,10,0.67475,0.61641,0.84006,0.09367,328354,1059700,2.0549467952271023e-06
bubble sort (classic),sampling,10,0.67253,0.61381,0.841,0.094,1175775,0,5.719886883119644e-07
bubble sort (classic),weird $(1.5)$,10,0.68265,0.62406,0.85139,0.09533,819454,0,8.33054692514772e-07
christmas tree,sampling,10,0.65789,0.60738,0.79383,0.08767,61754,0,1.0653398970107199e-05
jingle bells,sampling,10,0.64521,0.59195,0.78894,0.08767,19994,0,3.2270181054316296e-05
mohajer (ir),sampling,10,0.57543,0.51807,0.737,0.082,69524,0,8.27671020079397e-06
mohajer + bubble,sampling,10,0.58799,0.53632,0.731,0.08233,104653,0,5.618472475705427e-06
mohajer + bubble,cached-sampling,10,0.56944,0.51309,0.73367,0.08133,131684,35977,4.3242914856778345e-06
mohajer + bubble,bidirectional,10,0.54874,0.47575,0.76472,0.08633,128912,21736,4.256702246493732e-06
mohajer + bubble,weird $(1.5)$,10,0.57455,0.50756,0.76606,0.085,95302,0,6.028729722356299e-06
pac + bubble,sampling,10,0.6699,0.62151,0.80478,0.08933,55009,0,1.2178007235179699e-05
pac + bubble,cached-sampling,10,0.65673,0.60452,0.79978,0.08867,101784,3985,6.452192879037963e-06
pac + bubble,bidirectional,10,0.68449,0.63931,0.80794,0.08967,97612,2300,7.012355038314961e-06
pac + bubble,weird $(1.5)$,10,0.67812,0.63339,0.79694,0.08833,52903,0,1.281817666294917e-05
pac top-k (2-round),sampling,10,0.62472,0.5889,0.71494,0.07967,323078,0,1.9336506973548187e-06
pac top-k (2-round),cached-sampling,10,0.64444,0.60908,0.73506,0.082,645874,1682,9.977797527071845e-07
pac top-k (2-round),bidirectional,10,0.66642,0.62306,0.78683,0.088,604678,468,1.1021072372403163e-06
pac top-k (2-round),weird $(1.5)$,10,0.63988,0.60501,0.72967,0.081,311479,0,2.0543279001152566e-06
pac top-k (3-round),sampling,10,0.65936,0.62208,0.76017,0.084,353660,0,1.8643895266640275e-06
pac top-k (3-round),cached-sampling,10,0.62275,0.5873,0.71489,0.07933,650226,28547,9.57743922882198e-07
pac top-k (3-round),bidirectional,10,0.65885,0.61465,0.78139,0.087,638796,34262,1.0313934338975197e-06
pac top-k (3-round),weird $(1.5)$,10,0.6453,0.60986,0.73656,0.082,353660,0,1.8246338291013967e-06
pac top-k (optimized),sampling,10,0.66417,0.62175,0.77878,0.08633,44399,0,1.4959120700916688e-05
pac top-k (optimized),cached-sampling,10,0.66417,0.62175,0.77878,0.08633,88798,0,7.479560350458344e-06
pac top-k (optimized),bidirectional,10,0.67855,0.63177,0.80794,0.08967,88798,0,7.641500934705736e-06
pac top-k (optimized),weird $(1.5)$,10,0.66832,0.62337,0.79228,0.08733,44399,0,1.5052591274578257e-05
prp sort (classic),cached-sampling,10,0.62326,0.57188,0.76128,0.085,491114,15307,1.2690739828227255e-06
prp sort (classic),bidirectional,10,0.67471,0.62754,0.80917,0.09033,383026,9925,1.7615253272623791e-06
prp sort (classic),sampling,10,0.61741,0.56964,0.75033,0.08333,259896,0,2.375604087788962e-06
prp sort (classic),weird $(1.5)$,10,0.64115,0.58859,0.79222,0.08867,234781,0,2.7308427854042705e-06
quick sort (classic),bidirectional,10,0.60079,0.54292,0.76639,0.085,442690,0,1.3571347895818746e-06
quick sort (classic),cached-sampling,10,0.5873,0.52976,0.75483,0.08467,333478,0,1.7611356671204697e-06
quick sort (classic),sampling,10,0.5873,0.52976,0.75483,0.08467,166739,0,3.5222713342409395e-06
quick sort (classic),weird $(1.5)$,10,0.57524,0.51709,0.74222,0.083,173487,0,3.315752765336884e-06
sliding window prp (classic),bidirectional,10,0.69246,0.6427,0.83494,0.09267,177982,200640,3.890618152397433e-06
sliding window prp (classic),cached-sampling,10,0.69197,0.63634,0.85006,0.09467,277928,157696,2.4897455456089345e-06
sliding window prp (classic),sampling,10,0.65193,0.58847,0.83972,0.094,296660,0,2.197566237443538e-06
sliding window prp (classic),weird $(1.5)$,10,0.66522,0.60442,0.84056,0.094,296660,0,2.242364996966224e-06
spectral mle (refinement),bidirectional,10,0.54946,0.50542,0.67667,0.076,1504358,0,3.6524550672113947e-07
spectral mle (refinement),cached-sampling,10,0.61554,0.56081,0.775,0.087,1504358,0,4.0917122121197215e-07
spectral mle (refinement),sampling,10,0.61554,0.56081,0.775,0.087,752179,0,8.183424424239443e-07
spectral mle (refinement),weird $(1.5)$,10,0.62419,0.5703,0.77833,0.08733,752179,0,8.298423646499038e-07
