ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.59469,0.01315,0.01581,0.644,0,0,0.0
bubble sort (classic),bidirectional,10,0.71771,0.01767,0.01959,0.76,56320,78358,1.2743430397727273e-05
bubble sort (classic),cached-sampling,10,0.72734,0.01836,0.02012,0.782,83488,163207,8.711910693752396e-06
bubble sort (classic),sampling,10,0.74733,0.01895,0.02053,0.804,204746,0,3.6500346771121295e-06
bubble sort (classic),weird $(1.5)$,10,0.73204,0.01834,0.02028,0.788,164086,0,4.461319064393062e-06
mohajer (ir),sampling,10,0.76106,0.01927,0.02096,0.812,11637,0,6.540001718656011e-05
mohajer (ir),cached-sampling,10,0.76112,0.01935,0.02117,0.82,18762,2179,4.056710372028568e-05
mohajer (ir),bidirectional,10,0.75741,0.01907,0.02089,0.818,19882,2388,3.8095262046071827e-05
mohajer (ir),weird $(1.5)$,10,0.7693,0.01964,0.02122,0.828,11914,0,6.45710928319624e-05
mohajer + bubble,sampling,10,0.7708,0.01958,0.02116,0.828,17666,0,4.363183516359108e-05
mohajer + bubble,cached-sampling,10,0.74369,0.01884,0.02031,0.786,21460,6666,3.46547064305685e-05
mohajer + bubble,bidirectional,10,0.75556,0.01905,0.02089,0.818,21046,3894,3.5900408628718047e-05
mohajer + bubble,weird $(1.5)$,10,0.76743,0.01894,0.02062,0.816,15996,0,4.7976369092273064e-05
prp sort (classic),cached-sampling,10,0.75887,0.01908,0.02093,0.82,85562,2635,8.869241018209018e-06
prp sort (classic),bidirectional,10,0.753,0.01882,0.02062,0.812,71932,2042,1.04682199855419e-05
prp sort (classic),sampling,10,0.74971,0.01898,0.02082,0.824,45533,0,1.646520106296532e-05
prp sort (classic),weird $(1.5)$,10,0.74212,0.01834,0.02026,0.804,42512,0,1.7456718103123823e-05
quick sort (classic),bidirectional,10,0.76608,0.01923,0.02102,0.824,80198,0,9.552357914162447e-06
quick sort (classic),cached-sampling,10,0.74704,0.01811,0.01993,0.8,58054,0,1.286801943018569e-05
quick sort (classic),sampling,10,0.74704,0.01811,0.01993,0.8,29027,0,2.573603886037138e-05
quick sort (classic),weird $(1.5)$,10,0.74578,0.01863,0.02054,0.804,30170,0,2.471925754060325e-05
sliding window prp (classic),bidirectional,10,0.71771,0.01767,0.01959,0.76,44096,27452,1.627607946298984e-05
sliding window prp (classic),cached-sampling,10,0.74214,0.01864,0.02034,0.788,60290,19355,1.2309504063692155e-05
sliding window prp (classic),sampling,10,0.75969,0.01887,0.02082,0.82,49500,0,1.5347272727272725e-05
sliding window prp (classic),weird $(1.5)$,10,0.75218,0.01886,0.02044,0.796,49500,0,1.5195555555555555e-05
