ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.44219,0.17692,0.25469,0.4102,0,0,0.0
bubble sort (classic),bidirectional,10,0.4473,0.18564,0.25934,0.40204,38784,64964,1.1533106435643564e-05
bubble sort (classic),cached-sampling,10,0.42486,0.16989,0.25458,0.4,63798,176052,6.6594564092918275e-06
bubble sort (classic),sampling,10,0.41188,0.15785,0.24927,0.37959,203493,0,2.0240499673207435e-06
bubble sort (classic),weird $(1.5)$,10,0.43437,0.17216,0.24767,0.37959,146935,0,2.95620512471501e-06
mohajer (ir),sampling,10,0.24446,0.08386,0.1493,0.21633,11400,0,2.144385964912281e-05
mohajer (ir),cached-sampling,10,0.23348,0.07732,0.14217,0.2102,18444,2117,1.2658859249620472e-05
mohajer (ir),bidirectional,10,0.26407,0.08584,0.16748,0.2449,19500,2362,1.3542051282051283e-05
mohajer (ir),weird $(1.5)$,10,0.25582,0.0849,0.16058,0.23878,11717,0,2.1833233762908593e-05
mohajer + bubble,sampling,10,0.25695,0.09093,0.15586,0.22041,17479,0,1.4700497740145319e-05
mohajer + bubble,cached-sampling,10,0.239,0.07785,0.15179,0.21429,21270,6096,1.1236483309826046e-05
mohajer + bubble,bidirectional,10,0.2665,0.08825,0.17088,0.24694,20730,4102,1.2855764592378197e-05
mohajer + bubble,weird $(1.5)$,10,0.25224,0.08615,0.16165,0.23469,15962,0,1.5802531011151485e-05
prp sort (classic),cached-sampling,10,0.29485,0.10589,0.17814,0.25714,82204,2484,3.5868084278137317e-06
prp sort (classic),bidirectional,10,0.33209,0.12306,0.19268,0.28367,64744,1864,5.129278388731002e-06
prp sort (classic),sampling,10,0.29926,0.10232,0.18092,0.26327,43100,0,6.94338747099768e-06
prp sort (classic),weird $(1.5)$,10,0.30191,0.11018,0.19103,0.27551,39064,0,7.728599221789883e-06
quick sort (classic),bidirectional,10,0.27356,0.09416,0.164,0.24082,88986,0,3.074191445845414e-06
quick sort (classic),cached-sampling,10,0.25065,0.08867,0.1515,0.21429,54798,0,4.574072046425052e-06
quick sort (classic),sampling,10,0.25065,0.08867,0.1515,0.21429,27399,0,9.148144092850103e-06
quick sort (classic),weird $(1.5)$,10,0.24421,0.08659,0.1504,0.21633,28947,0,8.436452827581442e-06
sliding window prp (classic),bidirectional,10,0.4473,0.18564,0.25934,0.40204,32670,31878,1.3691460055096418e-05
sliding window prp (classic),cached-sampling,10,0.42565,0.16934,0.25736,0.3898,49296,23862,8.63457481337228e-06
sliding window prp (classic),sampling,10,0.39941,0.14916,0.24226,0.37143,48510,0,8.233560090702947e-06
sliding window prp (classic),weird $(1.5)$,10,0.41472,0.16071,0.25566,0.38776,48510,0,8.549165120593692e-06
