ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.47964,0.1401,0.16436,0.53889,0,0,0.0
bubble sort (classic),bidirectional,10,0.66966,0.20723,0.22496,0.70556,327684,295222,2.04361519024426e-06
bubble sort (classic),cached-sampling,10,0.68012,0.21292,0.22849,0.72222,431872,621616,1.5748184647302904e-06
bubble sort (classic),sampling,10,0.68312,0.21396,0.22867,0.72593,804792,0,8.488155945884153e-07
bubble sort (classic),weird $(1.5)$,10,0.68369,0.21294,0.23033,0.72593,635205,0,1.0763296888406106e-06
christmas tree,sampling,10,0.52874,0.15833,0.17758,0.55926,40809,0,1.2956455683795242e-05
jingle bells,sampling,10,0.57768,0.17065,0.18565,0.61852,13350,0,4.3271910112359546e-05
mohajer (ir),sampling,10,0.67625,0.20676,0.22559,0.72222,46368,0,1.4584411663216012e-05
mohajer + bubble,sampling,10,0.663,0.20691,0.22517,0.71481,67748,0,9.786266753262089e-06
mohajer + bubble,cached-sampling,10,0.66471,0.20912,0.23557,0.72593,87934,23233,7.559192121363751e-06
mohajer + bubble,bidirectional,10,0.67448,0.21083,0.22973,0.71296,85482,15391,7.890316089937062e-06
mohajer + bubble,weird $(1.5)$,10,0.67884,0.20703,0.22509,0.71852,62571,0,1.0849115404900033e-05
pac + bubble,sampling,10,0.58513,0.17097,0.18413,0.62222,36744,0,1.592450468103636e-05
pac + bubble,cached-sampling,10,0.59429,0.17543,0.19089,0.61852,68592,2312,8.66412992768836e-06
pac + bubble,bidirectional,10,0.58618,0.17018,0.18805,0.63333,66822,1882,8.772260632725749e-06
pac + bubble,weird $(1.5)$,10,0.59277,0.16941,0.1878,0.62963,35982,0,1.6474070368517594e-05
pac top-k (2-round),sampling,10,0.64488,0.19264,0.22384,0.71111,212284,0,3.0378172636656557e-06
pac top-k (2-round),cached-sampling,10,0.63495,0.18786,0.22119,0.71852,422880,731,1.501489784335982e-06
pac top-k (2-round),bidirectional,10,0.64341,0.19597,0.23036,0.71111,411698,507,1.5628203197489423e-06
pac top-k (2-round),weird $(1.5)$,10,0.64872,0.19223,0.22508,0.72593,209964,0,3.089672515288335e-06
pac top-k (3-round),sampling,10,0.62609,0.17831,0.21585,0.69074,236000,0,2.6529237288135596e-06
pac top-k (3-round),cached-sampling,10,0.63048,0.17488,0.21007,0.68704,434288,18856,1.451755517076226e-06
pac top-k (3-round),bidirectional,10,0.63955,0.18025,0.21811,0.70556,430574,20713,1.485342821443004e-06
pac top-k (3-round),weird $(1.5)$,10,0.61133,0.17362,0.20481,0.67778,236000,0,2.5903813559322034e-06
pac top-k (optimized),sampling,10,0.55023,0.15802,0.19088,0.62778,29600,0,1.858885135135135e-05
pac top-k (optimized),cached-sampling,10,0.55023,0.15802,0.19088,0.62778,59200,0,9.294425675675675e-06
pac top-k (optimized),bidirectional,10,0.54989,0.15943,0.18805,0.63333,59200,0,9.288682432432433e-06
pac top-k (optimized),weird $(1.5)$,10,0.55041,0.15774,0.19071,0.62593,29600,0,1.8594932432432432e-05
prp sort (classic),cached-sampling,10,0.67624,0.20775,0.22559,0.72593,352480,10699,1.918520199727644e-06
prp sort (classic),bidirectional,10,0.6892,0.21268,0.22913,0.73148,317426,8427,2.1712147083099684e-06
prp sort (classic),sampling,10,0.67713,0.20716,0.23366,0.72222,187491,0,3.611533353600973e-06
prp sort (classic),weird $(1.5)$,10,0.68516,0.21136,0.23098,0.73889,178706,0,3.834006692556489e-06
quick sort (classic),bidirectional,10,0.67191,0.20924,0.22783,0.72222,289988,0,2.3170269114584052e-06
quick sort (classic),cached-sampling,10,0.68158,0.20831,0.22652,0.73148,235418,0,2.895190682105871e-06
quick sort (classic),sampling,10,0.68158,0.20831,0.22652,0.73148,117709,0,5.790381364211742e-06
quick sort (classic),weird $(1.5)$,10,0.67446,0.21127,0.22602,0.72407,119464,0,5.645717538337909e-06
sliding window prp (classic),bidirectional,10,0.66966,0.20723,0.22496,0.70556,218240,87593,3.0684567448680353e-06
sliding window prp (classic),cached-sampling,10,0.67287,0.2082,0.22457,0.70926,262662,66669,2.561733330287594e-06
sliding window prp (classic),sampling,10,0.66995,0.21087,0.22937,0.72037,198000,0,3.3835858585858586e-06
sliding window prp (classic),weird $(1.5)$,10,0.67452,0.20882,0.22896,0.72037,198000,0,3.4066666666666665e-06
