ranker,k,NDCG,MAP,Recall,Precision,Comparisons,NDCG_per_comp
nothing,1,0.4322,0.05286,0.05286,0.44746,0,0.0
nothing,3,0.4151,0.101,0.11788,0.4,0,0.0
nothing,5,0.41058,0.13124,0.17583,0.36271,0,0.0
nothing,10,0.39818,0.17097,0.24638,0.30237,0,0.0
nothing,100,0.42409,0.26231,0.48337,0.12586,0,0.0
random,1,0.31525,0.02498,0.02498,0.34915,0,0.0
random,3,0.32491,0.065,0.08501,0.35028,0,0.0
random,5,0.34944,0.0999,0.15136,0.36746,0,0.0
random,10,0.37018,0.14338,0.2324,0.35085,0,0.0
random,100,0.56419,0.32095,0.86744,0.23685,0,0.0
sliding window prp (classic),1,0.49492,0.05141,0.05141,0.50508,86975,5.690370796205806e-06
sliding window prp (classic),3,0.45605,0.10663,0.12549,0.43955,86975,5.243460764587525e-06
sliding window prp (classic),5,0.45407,0.14369,0.19621,0.40339,86975,5.220695602184535e-06
sliding window prp (classic),10,0.42945,0.18368,0.2589,0.32169,86975,4.937625754527163e-06
sliding window prp (classic),100,0.43979,0.27424,0.48337,0.12586,86975,5.056510491520552e-06
