ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.59469,0.01315,0.01581,0.644,0,0,0.0
bubble sort (classic),bidirectional,10,0.74818,0.01838,0.01986,0.786,65902,69112,1.135291796910564e-05
bubble sort (classic),cached-sampling,10,0.76377,0.01923,0.02072,0.824,95556,163566,7.99290468416426e-06
bubble sort (classic),sampling,10,0.7809,0.01978,0.02114,0.838,205281,0,3.8040539553100387e-06
bubble sort (classic),weird $(1.5)$,10,0.77462,0.01925,0.02094,0.826,153947,0,5.031731699870735e-06
mohajer (ir),sampling,10,0.7761,0.01968,0.02107,0.826,11579,0,6.702651351584766e-05
mohajer (ir),cached-sampling,10,0.76591,0.01948,0.02114,0.822,19090,2040,4.012100576217915e-05
mohajer (ir),bidirectional,10,0.75984,0.01919,0.02088,0.816,19938,2153,3.8110141438459224e-05
mohajer (ir),weird $(1.5)$,10,0.77075,0.01941,0.02098,0.824,11871,0,6.492713335018111e-05
mohajer + bubble,sampling,10,0.78551,0.01992,0.02147,0.838,17288,0,4.543671911152245e-05
mohajer + bubble,cached-sampling,10,0.76628,0.01919,0.02113,0.828,21622,6107,3.5439829802978444e-05
mohajer + bubble,bidirectional,10,0.75978,0.01922,0.02091,0.818,21354,4035,3.558021916268615e-05
mohajer + bubble,weird $(1.5)$,10,0.77759,0.0196,0.02122,0.832,16062,0,4.841177935499938e-05
prp sort (classic),cached-sampling,10,0.78215,0.01968,0.02124,0.826,87138,2589,8.975992104477955e-06
prp sort (classic),bidirectional,10,0.78254,0.01984,0.02143,0.832,74434,1865,1.051320633044039e-05
prp sort (classic),sampling,10,0.76443,0.01904,0.02062,0.81,45924,0,1.6645544813169585e-05
prp sort (classic),weird $(1.5)$,10,0.77938,0.01944,0.02113,0.822,43727,0,1.7823770210625013e-05
quick sort (classic),bidirectional,10,0.7717,0.01958,0.02119,0.828,74088,0,1.0415991793542815e-05
quick sort (classic),cached-sampling,10,0.76455,0.01951,0.02107,0.824,58844,0,1.2992828495683501e-05
quick sort (classic),sampling,10,0.76455,0.01951,0.02107,0.824,29422,0,2.5985656991367003e-05
quick sort (classic),weird $(1.5)$,10,0.75725,0.01895,0.02096,0.826,30064,0,2.518793241085684e-05
sliding window prp (classic),bidirectional,10,0.74818,0.01838,0.01986,0.786,51366,23619,1.4565666004750222e-05
sliding window prp (classic),cached-sampling,10,0.76623,0.0193,0.02065,0.818,65126,16937,1.1765347173172004e-05
sliding window prp (classic),sampling,10,0.77913,0.01938,0.02083,0.824,49500,0,1.574e-05
sliding window prp (classic),weird $(1.5)$,10,0.76377,0.01878,0.02026,0.81,49500,0,1.542969696969697e-05
