ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.44219,0.17692,0.25469,0.4102,0,0,0.0
bubble sort (classic),bidirectional,10,0.4282,0.17505,0.26215,0.39388,57568,70043,7.438160088938299e-06
bubble sort (classic),cached-sampling,10,0.39777,0.15475,0.2498,0.37347,84464,163705,4.709343625686683e-06
bubble sort (classic),sampling,10,0.34534,0.1348,0.22176,0.31633,201076,0,1.717460064851101e-06
bubble sort (classic),weird $(1.5)$,10,0.39574,0.15404,0.24233,0.35918,150720,0,2.625663481953291e-06
mohajer (ir),sampling,10,0.27202,0.09818,0.17629,0.24082,11405,0,2.385094256904866e-05
mohajer (ir),cached-sampling,10,0.2756,0.10015,0.18046,0.25102,18954,1904,1.4540466392318246e-05
mohajer (ir),bidirectional,10,0.25451,0.09589,0.17445,0.23673,19460,2075,1.3078622816032889e-05
mohajer (ir),weird $(1.5)$,10,0.27347,0.10129,0.17982,0.24694,11659,0,2.345569945964491e-05
mohajer + bubble,sampling,10,0.27476,0.10095,0.1867,0.2551,27389,0,1.0031764577019971e-05
mohajer + bubble,cached-sampling,10,0.26728,0.0975,0.18227,0.25102,34338,10220,7.78379637719145e-06
mohajer + bubble,bidirectional,10,0.2624,0.09616,0.18148,0.24898,34508,4500,7.604033847223833e-06
mohajer + bubble,weird $(1.5)$,10,0.28371,0.10267,0.18738,0.26531,25193,0,1.126146151708808e-05
prp sort (classic),cached-sampling,10,0.27315,0.10517,0.17828,0.2449,85088,2624,3.2102059044753668e-06
prp sort (classic),bidirectional,10,0.28425,0.10664,0.18613,0.25714,73966,1863,3.842981910607577e-06
prp sort (classic),sampling,10,0.28242,0.10317,0.17675,0.24694,45077,0,6.265279410785989e-06
prp sort (classic),weird $(1.5)$,10,0.30372,0.11352,0.19167,0.26735,42875,0,7.0838483965014575e-06
quick sort (classic),bidirectional,10,0.25808,0.09358,0.17913,0.25306,69588,0,3.7086854055296887e-06
quick sort (classic),cached-sampling,10,0.26575,0.09366,0.18238,0.24898,56784,0,4.6800154973231895e-06
quick sort (classic),sampling,10,0.26575,0.09366,0.18238,0.24898,28392,0,9.360030994646379e-06
quick sort (classic),weird $(1.5)$,10,0.26989,0.10597,0.1818,0.23878,28925,0,9.330682800345722e-06
sliding window prp (classic),bidirectional,10,0.4282,0.17505,0.26215,0.39388,45940,25540,9.320853286895952e-06
sliding window prp (classic),cached-sampling,10,0.39075,0.15164,0.25138,0.37143,60208,18406,6.490001328727079e-06
sliding window prp (classic),sampling,10,0.34858,0.13237,0.23344,0.33673,48510,0,7.185734900020615e-06
sliding window prp (classic),weird $(1.5)$,10,0.38984,0.14879,0.24717,0.36735,48510,0,8.036281179138323e-06
