ranker,k,NDCG,MAP,Recall,Precision,Comparisons,NDCG_per_comp
mohajer,1,0.57706,0.55496,0.55496,0.57706,105878,5.450235176335027e-06
mohajer,3,0.63401,0.6135,0.66965,0.24612,105878,5.988118400423128e-06
mohajer,5,0.66912,0.63628,0.75329,0.16846,105878,6.319726477644081e-06
mohajer,10,0.69633,0.64915,0.83423,0.09427,105878,6.576720376282136e-06
mohajer,100,0.72651,0.65316,1.0,0.01125,105878,6.861765428134268e-06
random,1,0.00717,0.00538,0.00538,0.00717,0,0.0
random,3,0.01436,0.01195,0.01971,0.00717,0,0.0
random,5,0.01899,0.01464,0.03047,0.00645,0,0.0
random,10,0.04015,0.02336,0.09229,0.01039,0,0.0
random,100,0.20808,0.04615,1.0,0.01125,0,0.0
sliding,1,0.46595,0.44444,0.44444,0.46595,94359,4.938055723354423e-06
sliding,3,0.50979,0.49283,0.54032,0.19594,94359,5.402664292754268e-06
sliding,5,0.51596,0.49848,0.55496,0.1233,94359,5.468052861942157e-06
sliding,10,0.52935,0.50448,0.59528,0.06595,94359,5.609957714685403e-06
sliding,100,0.60678,0.51629,1.0,0.01125,94359,6.430547165612183e-06
