ranker,k,NDCG,MAP,Recall,Precision,Comparisons,NDCG_per_comp
mohajer,1,0.8,0.02369,0.02369,0.86,17617,4.5410682863143554e-05
mohajer,3,0.80765,0.07034,0.07413,0.86667,17617,4.5844922518022364e-05
mohajer,5,0.80695,0.11753,0.12829,0.868,17617,4.580518817051711e-05
mohajer,10,0.79459,0.20788,0.23339,0.844,17617,4.5103593120281545e-05
mohajer,100,0.85126,0.64565,1.0,0.4718,17617,4.832037236759948e-05
quicky,1,0.83,0.02777,0.02777,0.9,37258,2.2277094852112296e-05
quicky,3,0.7952,0.07531,0.07759,0.86667,37258,2.134306726072253e-05
quicky,5,0.8045,0.12323,0.13218,0.88,37258,2.159267808255945e-05
quicky,10,0.78054,0.20615,0.22743,0.826,37258,2.0949594717912932e-05
quicky,100,0.89142,0.76598,1.0,0.4718,37258,2.3925599871168606e-05
random,1,0.41,0.00913,0.00913,0.46,0,0.0
random,3,0.40123,0.02352,0.03057,0.48,0,0.0
random,5,0.3895,0.03277,0.04505,0.448,0,0.0
random,10,0.3863,0.05664,0.08907,0.444,0,0.0
random,100,0.71713,0.48513,1.0,0.4718,0,0.0
sliding,1,0.83,0.02935,0.02935,0.92,28401,2.922432308721524e-05
sliding,3,0.81061,0.07197,0.07484,0.86,28401,2.8541600647864515e-05
sliding,5,0.75073,0.10187,0.10797,0.792,28401,2.6433224182247103e-05
sliding,10,0.69672,0.16097,0.18016,0.718,28401,2.453153057990916e-05
sliding,100,0.83352,0.61546,1.0,0.4718,28401,2.9348262385127285e-05
