Dataset,Ranker,Oracle,K,Budget,NDCG,Comparisons
dl-2019,mohajer (ir),Sampling,10,100,0.61415,4300
dl-2019,mohajer (ir),Sampling,10,150,0.67791,6450
dl-2019,mohajer (ir),Sampling,10,200,0.687,8600
dl-2019,mohajer (ir),Sampling,10,250,0.68729,9946
dl-2019,mohajer (ir),Sampling,10,300,0.68729,9946
dl-2019,mohajer (ir),Sampling,10,350,0.68729,9946
dl-2019,mohajer (ir),Sampling,10,400,0.68729,9946
dl-2019,mohajer (ir),Sampling,10,450,0.68729,9946
dl-2019,mohajer (ir),Sampling,10,500,0.68729,9946
dl-2019,mohajer (ir),Sampling,20,100,0.5181,4300
dl-2019,mohajer (ir),Sampling,20,150,0.59509,6450
dl-2019,mohajer (ir),Sampling,20,200,0.62349,8600
dl-2019,mohajer (ir),Sampling,20,250,0.63576,9946
dl-2019,mohajer (ir),Sampling,20,300,0.63576,9946
dl-2019,mohajer (ir),Sampling,20,350,0.63576,9946
dl-2019,mohajer (ir),Sampling,20,400,0.63576,9946
dl-2019,mohajer (ir),Sampling,20,450,0.63576,9946
dl-2019,mohajer (ir),Sampling,20,500,0.63576,9946
dl-2019,mohajer (ir),Sampling,30,100,0.48782,4300
dl-2019,mohajer (ir),Sampling,30,150,0.54506,6450
dl-2019,mohajer (ir),Sampling,30,200,0.56998,8600
dl-2019,mohajer (ir),Sampling,30,250,0.58817,9946
dl-2019,mohajer (ir),Sampling,30,300,0.58817,9946
dl-2019,mohajer (ir),Sampling,30,350,0.58817,9946
dl-2019,mohajer (ir),Sampling,30,400,0.58817,9946
dl-2019,mohajer (ir),Sampling,30,450,0.58817,9946
dl-2019,mohajer (ir),Sampling,30,500,0.58817,9946
dl-2019,mohajer (ir),Sampling,40,100,0.47896,4300
dl-2019,mohajer (ir),Sampling,40,150,0.53114,6450
dl-2019,mohajer (ir),Sampling,40,200,0.54677,8600
dl-2019,mohajer (ir),Sampling,40,250,0.56482,9946
dl-2019,mohajer (ir),Sampling,40,300,0.56482,9946
dl-2019,mohajer (ir),Sampling,40,350,0.56482,9946
dl-2019,mohajer (ir),Sampling,40,400,0.56482,9946
dl-2019,mohajer (ir),Sampling,40,450,0.56482,9946
dl-2019,mohajer (ir),Sampling,40,500,0.56482,9946
dl-2019,mohajer (ir),Sampling,50,100,0.47792,4300
dl-2019,mohajer (ir),Sampling,50,150,0.52449,6450
dl-2019,mohajer (ir),Sampling,50,200,0.53637,8600
dl-2019,mohajer (ir),Sampling,50,250,0.5495,9946
dl-2019,mohajer (ir),Sampling,50,300,0.5495,9946
dl-2019,mohajer (ir),Sampling,50,350,0.5495,9946
dl-2019,mohajer (ir),Sampling,50,400,0.5495,9946
dl-2019,mohajer (ir),Sampling,50,450,0.5495,9946
dl-2019,mohajer (ir),Sampling,50,500,0.5495,9946
dl-2019,bubble sort (classic),Sampling,10,100,0.55921,4300
dl-2019,bubble sort (classic),Sampling,10,150,0.56882,6450
dl-2019,bubble sort (classic),Sampling,10,200,0.59767,8600
dl-2019,bubble sort (classic),Sampling,10,250,0.60332,10750
dl-2019,bubble sort (classic),Sampling,10,300,0.61978,12900
dl-2019,bubble sort (classic),Sampling,10,350,0.62516,15050
dl-2019,bubble sort (classic),Sampling,10,400,0.64274,17200
dl-2019,bubble sort (classic),Sampling,10,450,0.64372,19350
dl-2019,bubble sort (classic),Sampling,10,500,0.65732,21500
dl-2019,bubble sort (classic),Sampling,20,100,0.53041,4300
dl-2019,bubble sort (classic),Sampling,20,150,0.53493,6450
dl-2019,bubble sort (classic),Sampling,20,200,0.55752,8600
dl-2019,bubble sort (classic),Sampling,20,250,0.56257,10750
dl-2019,bubble sort (classic),Sampling,20,300,0.57546,12900
