Ranker,Oracle,DisplayRanker,Dataset,Comparisons,average_comparison_per_task,NDCG@10,Budget,estimated_ms_a100_flan_t5_xl,estimated_ms_a100_qwen_instruct,estimated_ms_h100_flan_t5_xl,estimated_ms_h100_qwen_instruct,estimated_ms_h200_flan_t5_xl,estimated_ms_h200_qwen_instruct
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],dl-2019,4300,100.0,0.32764,100,8588.0,8537.0,9759.0,12352.0,9506.0,10112.0
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],dl-2019,6450,150.0,0.32764,150,12882.0,12805.5,14638.5,18528.0,14259.0,15168.0
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],dl-2019,8600,200.0,0.62442,200,17176.0,17074.0,19518.0,24704.0,19012.0,20224.0
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],dl-2019,10750,250.0,0.65355,250,21470.0,21342.5,24397.5,30880.0,23765.0,25280.0
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],dl-2019,12900,300.0,0.66338,300,25764.0,25611.0,29277.0,37056.0,28518.0,30336.0
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],dl-2019,15050,350.0,0.66229,350,30058.0,29879.5,34156.5,43232.0,33271.0,35392.0
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],dl-2019,16798,390.6511627906977,0.6664,400,33549.12,33349.89,38123.65,48253.23,37135.3,39502.65
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],dl-2019,17038,396.2325581395349,0.66578,450,34028.45,33826.37,38668.34,48942.65,37665.87,40067.04
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],dl-2019,17038,396.2325581395349,0.66578,500,34028.45,33826.37,38668.34,48942.65,37665.87,40067.04
mohajer (ir),Sampling,mohajer (ir) [Sampling],dl-2019,4300,100.0,0.61415,100,8588.0,8537.0,9759.0,12352.0,9506.0,10112.0
mohajer (ir),Sampling,mohajer (ir) [Sampling],dl-2019,6450,150.0,0.67791,150,12882.0,12805.5,14638.5,18528.0,14259.0,15168.0
mohajer (ir),Sampling,mohajer (ir) [Sampling],dl-2019,8600,200.0,0.687,200,17176.0,17074.0,19518.0,24704.0,19012.0,20224.0
mohajer (ir),Sampling,mohajer (ir) [Sampling],dl-2019,9946,231.3023255813953,0.68729,250,19864.24,19746.28,22572.79,28570.46,21987.6,23389.29
mohajer (ir),Sampling,mohajer (ir) [Sampling],dl-2019,9946,231.3023255813953,0.68729,300,19864.24,19746.28,22572.79,28570.46,21987.6,23389.29
mohajer (ir),Sampling,mohajer (ir) [Sampling],dl-2019,9946,231.3023255813953,0.68729,350,19864.24,19746.28,22572.79,28570.46,21987.6,23389.29
mohajer (ir),Sampling,mohajer (ir) [Sampling],dl-2019,9946,231.3023255813953,0.68729,400,19864.24,19746.28,22572.79,28570.46,21987.6,23389.29
