Ranker,Oracle,DisplayRanker,Dataset,Comparisons,NDCG@10,Budget,Experiment
Mohajer (IR),Bidirectional,Mohajer (IR) [Bidirectional],trec-covid,2500,0.48983,50,MohajerExp
Mohajer (IR),Bidirectional,Mohajer (IR) [Bidirectional],trec-covid,5000,0.48983,100,MohajerExp
Mohajer (IR),Bidirectional,Mohajer (IR) [Bidirectional],trec-covid,7500,0.48983,150,MohajerExp
Mohajer (IR),Bidirectional,Mohajer (IR) [Bidirectional],trec-covid,10000,0.73588,200,MohajerExp
Mohajer (IR),Bidirectional,Mohajer (IR) [Bidirectional],trec-covid,12500,0.72847,250,MohajerExp
Mohajer (IR),Bidirectional,Mohajer (IR) [Bidirectional],trec-covid,15000,0.73333,300,MohajerExp
Mohajer (IR),Bidirectional,Mohajer (IR) [Bidirectional],trec-covid,19882,0.75741,500,MohajerExp
Mohajer (IR),Sampling,Mohajer (IR) [Sampling],trec-covid,2500,0.48983,50,MohajerExp
Mohajer (IR),Sampling,Mohajer (IR) [Sampling],trec-covid,5000,0.72968,100,MohajerExp
Mohajer (IR),Sampling,Mohajer (IR) [Sampling],trec-covid,7500,0.7503,150,MohajerExp
Mohajer (IR),Sampling,Mohajer (IR) [Sampling],trec-covid,10000,0.73284,200,MohajerExp
Mohajer (IR),Sampling,Mohajer (IR) [Sampling],trec-covid,11637,0.76106,250,MohajerExp
Mohajer (IR),Sampling,Mohajer (IR) [Sampling],trec-covid,11637,0.76106,300,MohajerExp
Mohajer (IR),Sampling,Mohajer (IR) [Sampling],trec-covid,11637,0.76106,500,MohajerExp
Bubble Sort (Classic),Bidirectional,Bubble Sort (Classic) [Bidirectional],trec-covid,2500,0.59469,50,MohajerExp
Bubble Sort (Classic),Bidirectional,Bubble Sort (Classic) [Bidirectional],trec-covid,5000,0.59469,100,MohajerExp
Bubble Sort (Classic),Bidirectional,Bubble Sort (Classic) [Bidirectional],trec-covid,7500,0.59469,150,MohajerExp
Bubble Sort (Classic),Bidirectional,Bubble Sort (Classic) [Bidirectional],trec-covid,10000,0.63795,200,MohajerExp
Bubble Sort (Classic),Bidirectional,Bubble Sort (Classic) [Bidirectional],trec-covid,12500,0.63795,250,MohajerExp
Bubble Sort (Classic),Bidirectional,Bubble Sort (Classic) [Bidirectional],trec-covid,15000,0.6411,300,MohajerExp
Bubble Sort (Classic),Bidirectional,Bubble Sort (Classic) [Bidirectional],trec-covid,24866,0.6806,500,MohajerExp
Bubble Sort (Classic),Sampling,Bubble Sort (Classic) [Sampling],trec-covid,2500,0.59469,50,MohajerExp
Bubble Sort (Classic),Sampling,Bubble Sort (Classic) [Sampling],trec-covid,5000,0.63501,100,MohajerExp
Bubble Sort (Classic),Sampling,Bubble Sort (Classic) [Sampling],trec-covid,7500,0.64544,150,MohajerExp
Bubble Sort (Classic),Sampling,Bubble Sort (Classic) [Sampling],trec-covid,10000,0.67675,200,MohajerExp
Bubble Sort (Classic),Sampling,Bubble Sort (Classic) [Sampling],trec-covid,12500,0.66676,250,MohajerExp
Bubble Sort (Classic),Sampling,Bubble Sort (Classic) [Sampling],trec-covid,15000,0.7054,300,MohajerExp
