category,subcategory,flip_rate,n_pairs,n_flips
overall,all,0.20619445483643015,1202850,248021
dataset,dl-2019,0.21396288466055907,212850,45542
dataset,dl-2020,0.20452424242424241,990000,202479
rank_distance,1-5,0.2256393095780395,92639,20903
rank_distance,6-10,0.2073402966126147,86645,17965
rank_distance,11-20,0.20853186698349113,160762,33524
rank_distance,>20,0.20355607994399655,862804,175629
hardness,easy,0.18437185560113284,1115078,205589
hardness,moderate,0.47708012956843243,61126,29162
hardness,near-tie,0.49801095849283195,26646,13270
