Model,Dataset,Ranker,Oracle,QueryID,NDCG@10,Comparisons,AvgPromptTokens
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1037798,0.30573,428,110.80841121495327
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,104861,0.82382,680,77.80588235294118
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1063750,0.0,902,56.38359201773836
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1103812,0.65204,414,127.97584541062803
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1106007,0.15275,478,107.10041841004184
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1110199,0.37946,474,97.81856540084388
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1112341,0.46558,556,83.29856115107914
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1113437,0.19222,482,105.19087136929461
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1114646,0.42268,402,119.79601990049751
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1114819,0.54089,970,45.00824742268041
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1115776,0.37274,416,110.55288461538461
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1117099,0.54232,630,74.53650793650793
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1121402,0.8314,388,122.45876288659794
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1121709,0.07491,496,107.98790322580645
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1124210,0.73332,658,74.7872340425532
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1129237,0.55927,420,120.30952380952381
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,1133167,0.592,994,47.74849094567404
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,130510,0.58987,354,128.3276836158192
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,131843,0.93375,410,115.55121951219512
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,146187,0.76085,382,116.79581151832461
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,148538,0.43963,424,131.28301886792454
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,156493,0.93391,636,74.46855345911949
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,168216,0.97555,1162,43.62994836488812
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,182539,0.63849,312,149.98076923076923
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,183378,0.46614,950,52.770526315789475
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,19335,0.57556,490,88.2
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,207786,0.4731,406,125.0
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,264014,0.52573,838,56.140811455847256
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,359349,0.87774,368,144.0054347826087
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,405717,0.3267,336,141.41666666666666
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,443396,0.06943,508,89.3740157480315
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,451602,0.15839,538,78.0
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,47923,0.54863,404,124.18316831683168
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,489204,0.38734,474,107.58227848101266
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,490595,0.43481,370,126.28648648648648
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,527433,0.56005,440,119.19090909090909
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,573724,0.45171,360,126.25555555555556
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,833860,0.51232,444,109.11261261261261
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,855410,0.96655,534,102.09363295880149
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,87181,0.65529,378,122.4074074074074
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,87452,0.49118,386,129.5440414507772
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,915593,0.29062,422,113.13270142180095
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,962179,0.06625,406,105.94088669950739
qwen3-0.6b,dl-2019,bubble sort (classic),sampling,1037798,0.30573,214,110.80841121495327
