Ranker,dbpedia-entity,fiqa,robust04,scifact,trec-covid,webis-touche2020,dl-2019,dl-2020,Avg NDCG@10,Avg Comparisons/Task
bubble sort (classic) (sampling),0.4357,0.3231,0.4575,0.6725,0.7488,0.4119,0.6761,0.6390,0.5456,4083.99
bubble sort (classic) (bidirectional),0.4166,0.2945,0.4416,0.6925,0.7093,0.4473,0.6342,0.5859,0.5277,765.79
mohajer (ir) (sampling),0.3906,0.2485,0.3624,0.5754,0.7619,0.2445,0.6064,0.5723,0.4703,232.38
mohajer (ir) (bidirectional),0.3967,0.2587,0.3749,0.5385,0.7648,0.2641,0.6265,0.5606,0.4731,398.96
mohajer + bubble (sampling),0.3998,0.2619,0.3779,0.5880,0.7694,0.2570,0.6175,0.5882,0.4824,354.32
mohajer + bubble (bidirectional),0.3999,0.2623,0.3775,0.5487,0.7655,0.2665,0.6296,0.5637,0.4767,422.91
pac + bubble (sampling),0.3808,0.2719,0.4104,0.6699,0.7023,0.3823,0.5998,0.5730,0.4988,184.14
pac + bubble (bidirectional),0.3921,0.2920,0.4405,0.6845,0.6929,0.4143,0.6174,0.5719,0.5132,323.48
prp sort (classic) (sampling),0.3982,0.2770,0.3836,0.6174,0.7688,0.2993,0.6240,0.6027,0.4964,859.68
prp sort (classic) (bidirectional),0.4139,0.3127,0.4043,0.6747,0.7597,0.3321,0.6501,0.6264,0.5217,1229.65
quick sort (classic) (sampling),0.3914,0.2457,0.3543,0.5873,0.7584,0.2506,0.6175,0.5811,0.4733,556.36
quick sort (classic) (bidirectional),0.4107,0.2684,0.4100,0.6008,0.7624,0.2736,0.6454,0.5847,0.4945,1954.34
