Ranker,dbpedia-entity,dl-2019,dl-2020,robust04,scifact,trec-covid,webis-touche2020,Avg NDCG@10,Avg Comparisons/Task
bubble sort (classic) (bidirectional),0.4311,0.6844,0.6697,0.5542,0.7131,0.7482,0.4282,0.6041,1244.92
bubble sort (classic) (sampling),0.4351,0.7004,0.6831,0.5591,0.7019,0.7809,0.3453,0.6008,4067.56
prp sort (classic) (bidirectional),0.4164,0.7058,0.6892,0.5485,0.7057,0.7825,0.2843,0.5903,1409.28
prp sort (classic) (sampling),0.4101,0.6896,0.6771,0.5409,0.6598,0.7644,0.2824,0.5749,895.68
quick sort (classic) (bidirectional),0.4164,0.7036,0.6719,0.5371,0.6139,0.7717,0.2581,0.5675,1668.51
quick sort (classic) (sampling),0.4098,0.6879,0.6816,0.5289,0.6353,0.7645,0.2657,0.5677,573.69
PAC + Bubble (bidirectional),0.3908,0.6260,0.5862,0.4887,0.7043,0.7132,0.4110,0.5600,331.62
PAC + Bubble (sampling),0.3877,0.6105,0.5851,0.4807,0.6857,0.7130,0.3877,0.5501,184.01
Mohajer (IR) (bidirectional),0.4073,0.6658,0.6735,0.5357,0.6122,0.7598,0.2545,0.5584,398.50
Mohajer (IR) (sampling),0.4035,0.6873,0.6763,0.5324,0.6276,0.7761,0.2720,0.5679,231.95
Mohajer + Bubble (bidirectional),0.4086,0.6659,0.6745,0.5368,0.6188,0.7598,0.2571,0.5602,426.91
Mohajer + Bubble (sampling),0.4123,0.6947,0.6630,0.5400,0.6354,0.7855,0.2794,0.5729,345.03
